"kd_jenis_prw","nm_perawatan"
"AAA000001","Abdomen 3 Posisi"
"AAA000002","Abdomen 3 Posisi"
"AAA000003","Abdomen 3 Posisi"
"AAA000004","Abdomen 3 Posisi"
"AAA000005","Abdomen 3 Posisi"
"AAA000006","Abdomen 3 Posisi"
"ABDA000001","Abdomen 3 Posisi"
"ABDA000002","Abdomen 3 Posisi"
"ABDA000003","Abdomen 3 Posisi"
"ABDA000004","Abdomen 3 Posisi"
"ABDA000005","Abdomen 3 Posisi"
"ABDA000006","Abdomen 3 Posisi"
"ACADM000001","Abdomen 3 Posisi"
"ACADM000002","Abdomen 3 Posisi"
"ACADM000003","Abdomen 3 Posisi"
"ACADM000004","Abdomen 3 Posisi"
"ACADM000005","Abdomen 3 Posisi"
"ACADM000006","Abdomen 3 Posisi"
"ACPHLT000001","Abdomen 3 Posisi"
"ACPHLT000002","Abdomen 3 Posisi"
"ACPHLT000003","Abdomen 3 Posisi"
"ACPHLT000004","Abdomen 3 Posisi"
"ACPHLT000005","Abdomen 3 Posisi"
"ACPHLT000006","Abdomen 3 Posisi"
"ACPRM000001","Abdomen 3 Posisi"
"ACPRM000002","Abdomen 3 Posisi"
"ACPRM000003","Abdomen 3 Posisi"
"ACPRM000004","Abdomen 3 Posisi"
"ACPRM000005","Abdomen 3 Posisi"
"ACPRM000006","Abdomen 3 Posisi"
"ADIRA000001","Abdomen 3 Posisi"
"ADIRA000002","Abdomen 3 Posisi"
"ADIRA000003","Abdomen 3 Posisi"
"ADIRA000004","Abdomen 3 Posisi"
"ADIRA000005","Abdomen 3 Posisi"
"ADIRA000006","Abdomen 3 Posisi"
"ADM000001","Abdomen 3 Posisi"
"ADM000002","Abdomen 3 Posisi"
"ADM000003","Abdomen 3 Posisi"
"ADM000004","Abdomen 3 Posisi"
"ADM000005","Abdomen 3 Posisi"
"ADM000006","Abdomen 3 Posisi"
"AIA000001","Abdomen 3 Posisi"
"AIA000002","Abdomen 3 Posisi"
"AIA000003","Abdomen 3 Posisi"
"AIA000004","Abdomen 3 Posisi"
"AIA000005","Abdomen 3 Posisi"
"AIA000006","Abdomen 3 Posisi"
