"kd_jenis_prw","nm_perawatan","bagian_rs","bhp","tarif_perujuk","tarif_tindakan_dokter","tarif_tindakan_petugas","kso","menejemen","total_byr","kd_pj","status","kelas"
"","","0","0","0","0","0","0","0","0","","",""
"J000001","Cranium      AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000002","Cranium      AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000003","Waters","120000","0","0","0","0","0","0","120000","-","0","-"
"J000004","OS.Nasal     AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000005","OS.Nasal AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000006","Mastoid AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000007","Vert. Cervikal AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000008","Vert.Cervikal AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000009","Vert.Cervikal AP/Lat/Oblieque","240000","0","0","0","0","0","0","240000","-","0","-"
"J000010","Vert. Thoracal AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000011","Vert. Thoracal AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000012","Vert.Thoracal AP/Lat/Oblique","240000","0","0","0","0","0","0","240000","-","0","-"
"J000013","Vert. Lumbal AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000014","Vert. Lumbal AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000015","Vert. Lumbal AP/Lat/Oblique","160000","0","0","0","0","0","0","160000","-","0","-"
"J000016","Vert.Thoracolumbal AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000017","Vert. Thoracolumbal AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000018","Vert. Lumbo Sacral AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000019","Abdomen 1 Posisi","160000","0","0","0","0","0","0","160000","-","0","-"
"J000020","Abdomen 2 Posisi","120000","0","0","0","0","0","0","120000","-","0","-"
"J000021","Abdomen 3 Posisi","240000","0","0","0","0","0","0","240000","-","0","-"
"J000022","Thorax AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000023","Thorax AP/Lat","160000","0","0","0","0","0","0","160000","-","0","-"
"J000024","TOP LORDOTIK","120000","0","0","0","0","0","0","120000","-","0","-"
"J000025","Clavicula   AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000026","Shoulder Joint  AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000027","Shoulder Joint AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000028","Humerus  AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000029","Humerus  AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000030","Antebrachi AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000031","Wrist Joint AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000032","Manus AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000033","Elbow Joint AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000034","Pelvis","120000","0","0","0","0","0","0","120000","-","0","-"
"J000035","Femur AP","120000","0","0","0","0","0","0","120000","-","0","-"
"J000036","Femur AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000037","Cruris AP/Lat","120000","0","0","0","0","0","0","120000","-","0","-"
"J000038","Ankle AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000039","Pedis AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000040","Genu AP/Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000041","Calcaneus AP /Lat","140000","0","0","0","0","0","0","140000","-","0","-"
"J000042","ED - PEMERIKSAAN THORAX","100000","0","0","0","0","100000","0","100000","-","0","-"
"J000043","Paket MCU -Thorax","0","0","0","0","0","0","0","0","-","0","-"
"J000044","ED - THORAX","0","0","0","0","0","0","0","418000","-","0","-"
"J000045","L - USG ABDOMEN","400000","0","0","0","0","0","0","400000","-","0","-"
"J000046","Cranium      AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000047","Cranium      AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000048","Waters","154500","0","0","0","0","0","0","154500","-","0","-"
"J000049","OS.Nasal     AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000050","OS.Nasal AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000051","Mastoid AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000052","Vert. Cervikal AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000053","Vert.Cervikal AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000054","Vert.Cervikal AP/Lat/Oblieque","278500","0","0","0","0","0","0","278500","-","0","-"
"J000055","Vert. Thoracal AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000056","Vert. Thoracal AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000057","Vert.Thoracal AP/Lat/Oblique","278500","0","0","0","0","0","0","278500","-","0","-"
"J000058","Vert. Lumbal AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000059","Vert. Lumbal AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000060","Vert. Lumbal AP/Lat/Oblique","196000","0","0","0","0","0","0","196000","-","0","-"
"J000061","Vert.Thoracolumbal AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000062","Vert. Thoracolumbal AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000063","Vert. Lumbo Sacral AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000064","Abdomen 1 Posisi","196000","0","0","0","0","0","0","196000","-","0","-"
"J000065","Abdomen 2 Posisi","154500","0","0","0","0","0","0","154500","-","0","-"
"J000066","Abdomen 3 Posisi","278500","0","0","0","0","0","0","278500","-","0","-"
"J000067","Thorax AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000068","Thorax AP/Lat","196000","0","0","0","0","0","0","196000","-","0","-"
"J000069","TOP LORDOTIK","154500","0","0","0","0","0","0","154500","-","0","-"
"J000070","Clavicula   AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000071","Shoulder Joint  AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000072","Shoulder Joint AP/Lat","175500","0","0","0","0","0","0","175500","-","0","-"
"J000073","Humerus  AP","154500","0","0","0","0","0","0","154500","-","0","-"
"J000074","Humerus  AP/Lat","175500","0","0","0","0","0","0","175500","-","0","-"
"J000075","Antebrachi AP/Lat","175500","0","0","0","0","0","0","175500","-","0","-"
"J000076","Wrist Joint AP/Lat","175500","0","0","0","0","0","0","175500","-","0","-"
